# x1,x2,loss
-1.000000000000000000e+00,-1.000000000000000000e+00,2.617234802246093750e+01
-8.000000119209289551e-01,-1.000000000000000000e+00,2.225302505493164062e+01
-6.000000238418579102e-01,-1.000000000000000000e+00,1.866365623474121094e+01
-4.000000059604644775e-01,-1.000000000000000000e+00,1.540425109863281250e+01
-2.000000029802322388e-01,-1.000000000000000000e+00,1.247480773925781250e+01
0.000000000000000000e+00,-1.000000000000000000e+00,9.875325202941894531e+00
2.000000029802322388e-01,-1.000000000000000000e+00,7.605803489685058594e+00
4.000000059604644775e-01,-1.000000000000000000e+00,5.666243076324462891e+00
6.000000238418579102e-01,-1.000000000000000000e+00,4.056643486022949219e+00
8.000000119209289551e-01,-1.000000000000000000e+00,2.777005434036254883e+00
1.000000000000000000e+00,-1.000000000000000000e+00,1.827328443527221680e+00
-1.000000000000000000e+00,-8.000000119209289551e-01,2.200418090820312500e+01
-8.000000119209289551e-01,-8.000000119209289551e-01,1.841532707214355469e+01
-6.000000238418579102e-01,-8.000000119209289551e-01,1.515643596649169922e+01
-4.000000059604644775e-01,-8.000000119209289551e-01,1.222750663757324219e+01
-2.000000029802322388e-01,-8.000000119209289551e-01,9.628538131713867188e+00
0.000000000000000000e+00,-8.000000119209289551e-01,7.359529972076416016e+00
2.000000029802322388e-01,-8.000000119209289551e-01,5.420483112335205078e+00
4.000000059604644775e-01,-8.000000119209289551e-01,3.811397552490234375e+00
6.000000238418579102e-01,-8.000000119209289551e-01,2.532273292541503906e+00
8.000000119209289551e-01,-8.000000119209289551e-01,1.583110094070434570e+00
1.000000000000000000e+00,-8.000000119209289551e-01,9.639080762863159180e-01
-1.000000000000000000e+00,-6.000000238418579102e-01,1.820658302307128906e+01
-8.000000119209289551e-01,-6.000000238418579102e-01,1.494820594787597656e+01
-6.000000238418579102e-01,-6.000000238418579102e-01,1.201978874206542969e+01
-4.000000059604644775e-01,-6.000000238418579102e-01,9.421335220336914062e+00
-2.000000029802322388e-01,-6.000000238418579102e-01,7.152841091156005859e+00
0.000000000000000000e+00,-6.000000238418579102e-01,5.214308261871337891e+00
2.000000029802322388e-01,-6.000000238418579102e-01,3.605736494064331055e+00
4.000000059604644775e-01,-6.000000238418579102e-01,2.327126026153564453e+00
6.000000238418579102e-01,-6.000000238418579102e-01,1.378476858139038086e+00
8.000000119209289551e-01,-6.000000238418579102e-01,7.597886323928833008e-01
1.000000000000000000e+00,-6.000000238418579102e-01,4.710616469383239746e-01
-1.000000000000000000e+00,-4.000000059604644775e-01,1.477955913543701172e+01
-8.000000119209289551e-01,-4.000000059604644775e-01,1.185165786743164062e+01
-6.000000238418579102e-01,-4.000000059604644775e-01,9.253716468811035156e+00
-4.000000059604644775e-01,-4.000000059604644775e-01,6.985736846923828125e+00
-2.000000029802322388e-01,-4.000000059604644775e-01,5.047718048095703125e+00
0.000000000000000000e+00,-4.000000059604644775e-01,3.439660310745239258e+00
2.000000029802322388e-01,-4.000000059604644775e-01,2.161563873291015625e+00
4.000000059604644775e-01,-4.000000059604644775e-01,1.213428378105163574e+00
6.000000238418579102e-01,-4.000000059604644775e-01,5.952541828155517578e-01
8.000000119209289551e-01,-4.000000059604644775e-01,3.070410192012786865e-01
1.000000000000000000e+00,-4.000000059604644775e-01,3.487889766693115234e-01
-1.000000000000000000e+00,-2.000000029802322388e-01,1.172311115264892578e+01
-8.000000119209289551e-01,-2.000000029802322388e-01,9.125682830810546875e+00
-6.000000238418579102e-01,-2.000000029802322388e-01,6.858217716217041016e+00
-4.000000059604644775e-01,-2.000000029802322388e-01,4.920712947845458984e+00
-2.000000029802322388e-01,-2.000000029802322388e-01,3.313169002532958984e+00
0.000000000000000000e+00,-2.000000029802322388e-01,2.035586357116699219e+00
2.000000029802322388e-01,-2.000000029802322388e-01,1.087965011596679688e+00
4.000000059604644775e-01,-2.000000029802322388e-01,4.703046381473541260e-01
6.000000238418579102e-01,-2.000000029802322388e-01,1.826054155826568604e-01
8.000000119209289551e-01,-2.000000029802322388e-01,2.248673141002655029e-01
1.000000000000000000e+00,-2.000000029802322388e-01,5.970903038978576660e-01
-1.000000000000000000e+00,0.000000000000000000e+00,9.037236213684082031e+00
-8.000000119209289551e-01,0.000000000000000000e+00,6.770283699035644531e+00
-6.000000238418579102e-01,0.000000000000000000e+00,4.833292484283447266e+00
-4.000000059604644775e-01,0.000000000000000000e+00,3.226262569427490234e+00
-2.000000029802322388e-01,0.000000000000000000e+00,1.949193954467773438e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.002086400985717773e+00
2.000000029802322388e-01,0.000000000000000000e+00,3.849400281906127930e-01
4.000000059604644775e-01,0.000000000000000000e+00,9.775474667549133301e-02
6.000000238418579102e-01,0.000000000000000000e+00,1.405306011438369751e-01
8.000000119209289551e-01,0.000000000000000000e+00,5.132675170898437500e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.215965509414672852e+00
-1.000000000000000000e+00,2.000000029802322388e-01,6.721933841705322266e+00
-8.000000119209289551e-01,2.000000029802322388e-01,4.785456657409667969e+00
-6.000000238418579102e-01,2.000000029802322388e-01,3.178941249847412109e+00
-4.000000059604644775e-01,2.000000029802322388e-01,1.902386307716369629e+00
-2.000000029802322388e-01,2.000000029802322388e-01,9.557929039001464844e-01
0.000000000000000000e+00,2.000000029802322388e-01,3.391603827476501465e-01
2.000000029802322388e-01,2.000000029802322388e-01,5.248900502920150757e-02
4.000000059604644775e-01,2.000000029802322388e-01,9.577877819538116455e-02
6.000000238418579102e-01,2.000000029802322388e-01,4.690296649932861328e-01
8.000000119209289551e-01,2.000000029802322388e-01,1.172241568565368652e+00
1.000000000000000000e+00,2.000000029802322388e-01,2.205414533615112305e+00
-1.000000000000000000e+00,4.000000059604644775e-01,4.777206420898437500e+00
-8.000000119209289551e-01,4.000000059604644775e-01,3.171204805374145508e+00
-6.000000238418579102e-01,4.000000059604644775e-01,1.895163893699645996e+00
-4.000000059604644775e-01,4.000000059604644775e-01,9.490842819213867188e-01
-2.000000029802322388e-01,4.000000059604644775e-01,3.329656720161437988e-01
0.000000000000000000e+00,4.000000059604644775e-01,4.680822417140007019e-02
2.000000029802322388e-01,4.000000059604644775e-01,9.061188995838165283e-02
4.000000059604644775e-01,4.000000059604644775e-01,4.643766880035400391e-01
6.000000238418579102e-01,4.000000059604644775e-01,1.168102622032165527e+00
8.000000119209289551e-01,4.000000059604644775e-01,2.201789617538452148e+00
1.000000000000000000e+00,4.000000059604644775e-01,3.565437793731689453e+00
-1.000000000000000000e+00,6.000000238418579102e-01,3.203053236007690430e+00
-8.000000119209289551e-01,6.000000238418579102e-01,1.927526235580444336e+00
-6.000000238418579102e-01,6.000000238418579102e-01,9.819606542587280273e-01
-4.000000059604644775e-01,6.000000238418579102e-01,3.663558661937713623e-01
-2.000000029802322388e-01,6.000000238418579102e-01,8.071237802505493164e-02
0.000000000000000000e+00,6.000000238418579102e-01,1.250300109386444092e-01
2.000000029802322388e-01,6.000000238418579102e-01,4.993087351322174072e-01
4.000000059604644775e-01,6.000000238418579102e-01,1.203548550605773926e+00
6.000000238418579102e-01,6.000000238418579102e-01,2.237749576568603516e+00
8.000000119209289551e-01,6.000000238418579102e-01,3.601912021636962891e+00
1.000000000000000000e+00,6.000000238418579102e-01,5.296034812927246094e+00
-1.000000000000000000e+00,8.000000119209289551e-01,1.999473333358764648e+00
-8.000000119209289551e-01,8.000000119209289551e-01,1.054421782493591309e+00
-6.000000238418579102e-01,8.000000119209289551e-01,4.393311142921447754e-01
-4.000000059604644775e-01,8.000000119209289551e-01,1.542014777660369873e-01
-2.000000029802322388e-01,8.000000119209289551e-01,1.990329772233963013e-01
0.000000000000000000e+00,8.000000119209289551e-01,5.738255977630615234e-01
2.000000029802322388e-01,8.000000119209289551e-01,1.278579473495483398e+00
4.000000059604644775e-01,8.000000119209289551e-01,2.313294172286987305e+00
6.000000238418579102e-01,8.000000119209289551e-01,3.677970409393310547e+00
8.000000119209289551e-01,8.000000119209289551e-01,5.372607231140136719e+00
1.000000000000000000e+00,8.000000119209289551e-01,7.397204399108886719e+00
-1.000000000000000000e+00,1.000000000000000000e+00,1.166467905044555664e+00
-8.000000119209289551e-01,1.000000000000000000e+00,5.518912076950073242e-01
-6.000000238418579102e-01,1.000000000000000000e+00,2.672755122184753418e-01
-4.000000059604644775e-01,1.000000000000000000e+00,3.126209378242492676e-01
-2.000000029802322388e-01,1.000000000000000000e+00,6.879275441169738770e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.393195152282714844e+00
2.000000029802322388e-01,1.000000000000000000e+00,2.428423881530761719e+00
4.000000059604644775e-01,1.000000000000000000e+00,3.793613910675048828e+00
6.000000238418579102e-01,1.000000000000000000e+00,5.488764762878417969e+00
8.000000119209289551e-01,1.000000000000000000e+00,7.513876914978027344e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.868949890136718750e+00
